date,location,mlrt,low,high,death_rt,death_low,death_high
2020-03-18,South Africa,2.49,0.61,6.13,,,
2020-03-19,South Africa,2.48,1.86,3.02,,,
2020-03-20,South Africa,2.4,1.96,2.79,,,
2020-03-21,South Africa,2.29,1.91,2.62,,,
2020-03-22,South Africa,2.13,1.8,2.45,,,
2020-03-23,South Africa,1.94,1.61,2.23,,,
2020-03-24,South Africa,1.72,1.4,2.0,,,
2020-03-25,South Africa,1.48,1.16,1.75,,,
2020-03-26,South Africa,1.23,0.91,1.5,,,
2020-03-27,South Africa,0.99,0.68,1.27,,,
2020-03-28,South Africa,0.77,0.45,1.05,,,
2020-03-29,South Africa,0.58,0.24,0.86,,,
2020-03-30,South Africa,0.44,0.1,0.72,,,
2020-03-31,South Africa,0.36,0.02,0.63,,,
2020-04-01,South Africa,0.37,0.04,0.66,,,
2020-04-02,South Africa,0.45,0.08,0.75,,,
2020-04-03,South Africa,0.6,0.23,0.93,,,
2020-04-04,South Africa,0.78,0.41,1.12,,,
2020-04-05,South Africa,0.96,0.59,1.3,,,
2020-04-06,South Africa,1.12,0.75,1.45,1.21,0.11,4.24
2020-04-07,South Africa,1.24,0.87,1.56,1.2,0.2,2.55
2020-04-08,South Africa,1.33,0.96,1.64,1.2,0.27,2.26
2020-04-09,South Africa,1.4,1.05,1.71,1.22,0.31,2.13
2020-04-10,South Africa,1.46,1.12,1.76,1.25,0.39,2.09
2020-04-11,South Africa,1.5,1.15,1.78,1.27,0.45,2.06
2020-04-12,South Africa,1.53,1.2,1.81,1.29,0.47,2.02
2020-04-13,South Africa,1.55,1.24,1.83,1.32,0.53,2.02
2020-04-14,South Africa,1.56,1.24,1.82,1.33,0.58,2.02
2020-04-15,South Africa,1.55,1.25,1.81,1.32,0.58,1.98
2020-04-16,South Africa,1.52,1.22,1.77,1.31,0.57,1.94
2020-04-17,South Africa,1.5,1.22,1.75,1.28,0.57,1.91
2020-04-18,South Africa,1.47,1.19,1.71,1.28,0.59,1.9
2020-04-19,South Africa,1.44,1.16,1.67,1.26,0.59,1.88
2020-04-20,South Africa,1.41,1.13,1.63,1.25,0.6,1.87
2020-04-21,South Africa,1.37,1.11,1.6,1.24,0.57,1.83
2020-04-22,South Africa,1.35,1.1,1.58,1.23,0.56,1.81
2020-04-23,South Africa,1.35,1.11,1.58,1.23,0.59,1.82
2020-04-24,South Africa,1.35,1.09,1.56,1.26,0.61,1.83
2020-04-25,South Africa,1.36,1.1,1.56,1.31,0.68,1.88
2020-04-26,South Africa,1.38,1.13,1.58,1.37,0.74,1.92
2020-04-27,South Africa,1.4,1.16,1.6,1.42,0.82,1.97
2020-04-28,South Africa,1.43,1.19,1.62,1.48,0.9,2.02
2020-04-29,South Africa,1.44,1.21,1.63,1.52,0.96,2.05
2020-04-30,South Africa,1.44,1.22,1.63,1.56,1.01,2.07
2020-05-01,South Africa,1.44,1.22,1.62,1.58,1.03,2.06
2020-05-02,South Africa,1.43,1.22,1.61,1.58,1.05,2.05
2020-05-03,South Africa,1.43,1.22,1.6,1.56,1.02,2.0
2020-05-04,South Africa,1.43,1.23,1.6,1.53,1.02,1.97
2020-05-05,South Africa,1.44,1.25,1.61,1.49,1.0,1.93
2020-05-06,South Africa,1.45,1.26,1.61,1.43,0.96,1.87
2020-05-07,South Africa,1.46,1.28,1.62,1.38,0.9,1.8
2020-05-08,South Africa,1.48,1.31,1.64,1.34,0.86,1.75
2020-05-09,South Africa,1.48,1.29,1.62,1.3,0.83,1.71
2020-05-10,South Africa,1.47,1.29,1.61,1.28,0.81,1.68
2020-05-11,South Africa,1.45,1.28,1.59,1.27,0.81,1.67
2020-05-12,South Africa,1.43,1.27,1.57,1.28,0.82,1.67
2020-05-13,South Africa,1.41,1.25,1.54,1.3,0.84,1.68
2020-05-14,South Africa,1.38,1.21,1.5,1.33,0.88,1.71
2020-05-15,South Africa,1.34,1.19,1.47,1.37,0.94,1.75
2020-05-16,South Africa,1.32,1.15,1.43,1.39,0.95,1.75
2020-05-17,South Africa,1.3,1.15,1.42,1.4,0.98,1.76
2020-05-18,South Africa,1.28,1.13,1.4,1.41,1.02,1.78
2020-05-19,South Africa,1.27,1.13,1.39,1.4,1.0,1.75
2020-05-20,South Africa,1.27,1.12,1.38,1.37,0.97,1.71
2020-05-21,South Africa,1.28,1.15,1.4,1.33,0.93,1.66
2020-05-22,South Africa,1.3,1.16,1.41,1.28,0.89,1.61
2020-05-23,South Africa,1.33,1.2,1.44,1.23,0.85,1.56
2020-05-24,South Africa,1.36,1.22,1.46,1.18,0.79,1.5
2020-05-25,South Africa,1.38,1.26,1.49,1.13,0.76,1.46
2020-05-26,South Africa,1.4,1.27,1.5,1.09,0.71,1.41
2020-05-27,South Africa,1.42,1.3,1.52,1.06,0.68,1.38
2020-05-28,South Africa,1.43,1.3,1.52,1.04,0.66,1.36
2020-05-29,South Africa,1.44,1.32,1.53,1.03,0.65,1.35
2020-05-30,South Africa,1.43,1.33,1.53,1.04,0.66,1.36
2020-05-31,South Africa,1.42,1.31,1.51,1.06,0.67,1.37
2020-06-01,South Africa,1.41,1.31,1.5,1.08,0.71,1.4
2020-06-02,South Africa,1.39,1.28,1.47,1.09,0.72,1.41
2020-06-03,South Africa,1.37,1.28,1.46,1.11,0.72,1.41
2020-06-04,South Africa,1.35,1.25,1.43,1.11,0.75,1.43
2020-06-05,South Africa,1.33,1.22,1.4,1.11,0.74,1.42
2020-06-06,South Africa,1.32,1.22,1.39,1.11,0.76,1.43
2020-06-07,South Africa,1.31,1.21,1.38,1.11,0.75,1.42
2020-06-08,South Africa,1.31,1.21,1.38,1.13,0.76,1.43
2020-06-09,South Africa,1.31,1.22,1.38,1.16,0.8,1.46
2020-06-10,South Africa,1.32,1.22,1.38,1.2,0.86,1.51
2020-06-11,South Africa,1.32,1.22,1.38,1.25,0.92,1.56
2020-06-12,South Africa,1.31,1.22,1.37,1.29,0.97,1.6
2020-06-13,South Africa,1.3,1.21,1.36,1.33,1.0,1.62
2020-06-14,South Africa,1.28,1.19,1.34,1.35,1.02,1.63
2020-06-15,South Africa,1.27,1.2,1.34,1.34,1.02,1.62
2020-06-16,South Africa,1.27,1.19,1.33,1.32,1.01,1.6
2020-06-17,South Africa,1.28,1.2,1.34,1.28,0.98,1.56
2020-06-18,South Africa,1.3,1.21,1.35,1.23,0.91,1.49
2020-06-19,South Africa,1.32,1.25,1.38,1.18,0.88,1.45
2020-06-20,South Africa,1.35,1.28,1.41,1.14,0.83,1.4
2020-06-21,South Africa,1.37,1.29,1.42,1.11,0.8,1.37
2020-06-22,South Africa,1.39,1.32,1.44,1.09,0.77,1.34
2020-06-23,South Africa,1.39,1.32,1.44,1.09,0.79,1.35
2020-06-24,South Africa,1.39,1.32,1.44,1.1,0.8,1.36
2020-06-25,South Africa,1.38,1.31,1.43,1.14,0.83,1.39
2020-06-26,South Africa,1.38,1.31,1.42,1.2,0.9,1.45
2020-06-27,South Africa,1.37,1.3,1.41,1.27,0.98,1.52
2020-06-28,South Africa,1.36,1.29,1.4,1.34,1.06,1.59
2020-06-29,South Africa,1.35,1.3,1.4,1.4,1.12,1.64
2020-06-30,South Africa,1.35,1.29,1.39,1.45,1.17,1.68
2020-07-01,South Africa,1.34,1.28,1.38,1.47,1.19,1.69
2020-07-02,South Africa,1.33,1.27,1.37,1.46,1.21,1.69
2020-07-03,South Africa,1.32,1.26,1.36,1.42,1.17,1.64
2020-07-04,South Africa,1.31,1.26,1.35,1.35,1.09,1.56
2020-07-05,South Africa,1.3,1.24,1.33,1.27,1.02,1.48
2020-07-06,South Africa,1.28,1.23,1.32,1.19,0.93,1.39
2020-07-07,South Africa,1.26,1.2,1.29,1.11,0.87,1.32
2020-07-08,South Africa,1.24,1.18,1.27,1.04,0.81,1.26
2020-07-09,South Africa,1.21,1.15,1.24,1.0,0.77,1.22
2020-07-10,South Africa,1.18,1.12,1.21,0.98,0.73,1.19
2020-07-11,South Africa,1.15,1.1,1.18,0.99,0.73,1.19
2020-07-12,South Africa,1.11,1.07,1.15,1.02,0.76,1.22
2020-07-13,South Africa,1.08,1.03,1.11,1.06,0.83,1.28
2020-07-14,South Africa,1.05,1.0,1.08,1.11,0.86,1.31
2020-07-15,South Africa,1.02,0.97,1.05,1.15,0.9,1.35
2020-07-16,South Africa,0.99,0.95,1.03,1.19,0.95,1.39
2020-07-17,South Africa,0.97,0.93,1.01,1.21,0.97,1.41
2020-07-18,South Africa,0.96,0.91,0.99,1.23,1.0,1.43
2020-07-19,South Africa,0.94,0.9,0.98,1.24,1.0,1.43
2020-07-20,South Africa,0.93,0.89,0.97,1.24,1.01,1.43
2020-07-21,South Africa,0.92,0.87,0.95,1.25,1.04,1.45
2020-07-22,South Africa,0.9,0.84,0.93,1.26,1.03,1.44
2020-07-23,South Africa,0.88,0.83,0.92,1.28,1.06,1.46
2020-07-24,South Africa,0.86,0.81,0.9,1.31,1.08,1.48
2020-07-25,South Africa,0.84,0.79,0.88,1.34,1.12,1.51
2020-07-26,South Africa,0.82,0.76,0.85,1.37,1.16,1.54
2020-07-27,South Africa,0.8,0.74,0.83,1.4,1.19,1.56
2020-07-28,South Africa,0.78,0.73,0.82,1.42,1.23,1.59
2020-07-29,South Africa,0.77,0.71,0.8,1.43,1.25,1.6
2020-07-30,South Africa,0.75,0.7,0.79,1.44,1.26,1.6
2020-07-31,South Africa,0.74,0.67,0.77,1.42,1.23,1.57
2020-08-01,South Africa,0.72,0.66,0.76,1.4,1.21,1.54
2020-08-02,South Africa,0.72,0.66,0.76,1.36,1.19,1.51
2020-08-03,South Africa,0.71,0.65,0.75,1.33,1.14,1.46
2020-08-04,South Africa,0.7,0.65,0.75,1.28,1.11,1.42
2020-08-05,South Africa,0.7,0.63,0.74,1.24,1.06,1.37
2020-08-06,South Africa,0.69,0.62,0.73,1.18,1.03,1.33
2020-08-07,South Africa,0.68,0.62,0.73,1.11,0.95,1.25
